year	month	basil/herbs	beets	cabbage	carrots	collards	cucumbers	chives	eggplant	greens	green beans	jalapenos	kale	lettuce/chard	melons	okra	onions/garlic	peppers	potatoes	radish	spinach	squash	berries/figs	sugar snap peas/soy beans	sweet potatoes	tomatoes	Lettuce Pray	turnips	zucchini
2023	January									4.75			2.25	2.00													1.00	1.25	
2023	February	0.50			0.25					2.50			0.50	0.50			1.00										0.25		
2023	March	0.75			2.00			0.75		16.00			21.50	5.75			5.25										136.50		
2023	April							2.00		25.50			40.00	10.75			5.75			0.75			0.75				7.75	2.75	
2023	May	0.50	4.50					1.50		54.25			20.50	39.50							1.00		0.75	4.75			45.25	5.25	
2023	June	5.50	3.75		1.50		0.25	2.25		28.25	5.25	11.00	17.75	56.00			13.25	20.25	101.25		33.75	21.50	0.75	2.75		2.00	38.25	5.75	222.75
2023	July	4.25					127.50	2.25			7.00	19.25	1.25	2.00	18.00			82.25			27.75	166.50	4.50			522.50	68.00		124.75
2023	August	8.75					30.00				0.75	18.00			1.50	4.25		7.25			42.00	51.25	1.75			396.50	212.75		9.00
2023	September 	8.25					1.25				3.00	12.50				5.75		20.00			52.75	31.00	6.50			234.25	12.75		
2023	October 	4.75				1.50				26.25	9.50	21.00	7.00	8.25		1.50		32.00		5.75	42.25	74.50	1.25			62.25	90.00		16.50
2023	November 	1.00	1.00		1.00	4.25				15.75		1.50	5.50	5.50				2.00	1.00	1.75			0.33				7.00		4.50
2023	December	0.50	0.50		6.25	2.75				18.75			8.00	4.25			0.50			2.00		15.50					63.50		
2022	January				9.50	13.25				17.25			3.75	4.00			5.00			13.50								8.75	
2022	February		1.75		19.50					1.00																	13.50	1.00	
2022	March	1.33	0.75		1.00					0.75																	3.00	 	
2022	April	0.75		3.00	9.00	3.25		1.50		39.50				19.00									2.00	1.75			10.75	28.00	
2022	May	2.00			3.00	1.25		1.25		53.75	0.50		25.25	58.75			10.50	0.25	15.00				1.00	21.50			938.50		34.00
2022	June	5.00	5.00				20.50	4.00		1.50	5.25	4.25	7.25	21.75			21.50	27.50	91.25		39.75	250.00	2.75	1.50		21.75	12.00	10.00	221.00
2022	July	12.50					21.25	1.50			8.00	52.50			28.50	9.00	1.00	47.00			25.00	109.50	6.50			267.00	113.50	2.00	93.25
2022	August	4.25					15.75				0.50	27.00				116.25		41.25			59.75	248.00	1.00			151.50	727.50		13.25
2022	September 	2.00				1.50	2.75			20.50	1.00	20.25	3.75			62.20		31.00			33.00	127.00				23.00	27.50		5.00
2022	October 	1.00				12.75	0.75			40.00		5.00	9.25			15.25		10.75		2.75	33.25	36.75				24.50	21.25		
2022	November 	0.50				13.75				7.25			14.00	6.50		0.50		3.00		3.75							1.00		
2022	December	0.50				0.50				1.75			3.25	1.25													320.00		
2021	January	1.00	2.50		33.00	2.50				14.25			0.75	2.50			1.25			2.75							11.75	15.50	
2021	February	0.50			56.50	0.75				12.50			1.50	0.25			0.75			1.75							8.50	4.50	
2021	March	1.00			7.00	4.00		0.25		6.25			5.50	0.50			2.75			1.50							17.25	2.00	
2021	April	3.00			12.00	3.00		0.50		24.25			3.75	9.00			5.75			1.50							14.75	2.25	
2021	May	3.00	0.75		10.25	14.25		0.50		38.75			34.00	58.50			12.25			13.75			46.75	7.75			11.00	21.00	
2021	June	9.25	2.50	16.50	7.50	58.00		1.00		45.25	50.75	z	96.50	0.75			30.25		70.25	2.00	18.75	3.75	19.25	10.75		7.50	29.25	25.00	50.75
2021	July	8.00				13.25	3.50			9.25	24.00		2.00			19.75	24.75	4.25			28.75	485.63	11.75			349.00	724.54	4.50	16.50
2021	August	8.50					3.50				5.00	3.50				51.50		10.25	2.50		43.75	318.75	1.00			251.50	38.50		9.25
2021	September	5.25					2.25			12.25	9.50	1.75				89.50		11.00			36.75	144.75	2.25			34.50	26.25		1.00
2021	October	2.75					1.50	0.25		70.75	5.25	8.25	3.50	1.00		12.75	2.00	16.25		12.00	28.50	147.75	3.00		7.00	18.75	20.00	2.25	3.25
2021	November	3.25			8.25	10.00				49.50		2.00	3.00	2.50			3.00	1.50		19.00	2.25	39.25	3.75		9.00	1.50	36.25	0.25	214.00
2021	December	1.25			0.50	11.00				33.00			2.75	2.00						22.50		9.75					4.75	1.25	
2020	January							0.25		41.00			2.75	3.50			1.25			0.50							1.50		
2020	February							0.25		24.75			1.50	3.50	5.00					1.50								2.50	
2020	March				86.00	0.67				73.50			6.25	1.33			1.50			2.50							10.25	3.25	1.25
2020	April	1.00			51.75	14.50				16.00			10.00	3.00			2.25			3.00			9.75	1.25			9.00		0.33
2020	May	1.75			1.00	5.50				0.67			16.25	16.50			17.00		25.50	2.50			7.75	90.50			13.25		
2020	June	4.00			1.50		5.00			4.75	41.00		17.75	13.25			59.50	10.00	115.00		23.25		4.75	8.75		18.75	532.50		11.75
2020	July	6.50			0.75		39.25			2.75	21.50		7.75	1.25	206.00	19.25		31.50			32.00	45.00	1.25	4.25		265.25	39.50		84.50
2020	August	4.00					4.75			3.00	5.75		13.25	0.50	118.50	93.00		51.50			54.00	232.50	10.50			61.00	134.00		24.50
2020	September	12.25					1.00	0.75		5.50	19.50		10.25	2.00	10.00	58.00		63.75		17.25	104.75	305.25	11.75			62.25	51.50		1.00
2020	October	4.33				8.25		0.75	0.75	8.00	14.25	1.50	7.25	7.25		8.75		52.50		11.50	46.75	75.00	4.50	6.25	141.75	17.25	52.25		
2020	November	0.75			3.00	13.00		0.75		13.25	3.00	1.25	4.00	12.50			1.75	11.75	3.00			17.00	2.00				69.50	1.75	
2020	December	1.00			14.50	6.50		0.50		42.00			2.50	16.75			3.25		3.75			1.00			1.50		5.00	21.00	
2019	January			0.50	8.75	4.50				4.50			6.25	4.00							3.25						17.25		
2019	February			0.75	4.00	0.50				1.25			1.75	0.50							1.00							1.50	
2019	March				4.00	1.00							4.50	1.50							2.25						0.75		
2019	April		1.75	2.00	19.25			0.50		8.50			15.25	11.25			0.50				2.00						7.75		1.00
2019	May	0.50		3.50	74.00					38.75			36.25	83.50			0.50	0.50					3.00	16.50			7.00		3.00
2019	June	3.67	1.25		32.00		30.75		3.00	24.75	11.25	3.50	32.00	4.25		2.00	15.25	19.25	39.50	1.50	31.25	10.00		0.50		4.25	18.25	2.00	5.00
2019	July	3.00					37.00	0.25	1.50	1.25	19.00	1.75		2.25	16.00	29.50	2.75	42.75	31.00		28.75	45.75	0.40			231.75	50.75		5.25
2019	August	2.00					11.00		2.25	0.50	25.75	5.00		1.25	57.50	50.00	2.00	22.50			29.00	115.50	9.00			168.50	55.00		24.25
2019	September	0.50		0.50			0.50		3.25	6.25	22.25	1.00		0.75		33.50	1.00	29.75		1.25	20.00	51.00	11.25			54.50	44.50		2.75
2019	October					5.25			4.00	1.75	3.5	1.25	2.00	6.50	27.50	2.75	5.25	18.00		1.00	15.25	11.25	0.50		61.50	55.25	63.00		0.75
2019	November	0.90				3.00		0.25	0.50	6.75	1.50		0.25	0.50	4.75			7.25		0.50	5.50	7.25	0.25		13.00	31.75	8.50		
